sequence_name,FSIG_a_mean,FSIG_a_var,FSIG_lt_mean,FSIG_lt_var,FSIG_lb_mean,FSIG_lb_var,FSIG_rt_mean,FSIG_rt_var,FSIG_rb_mean,FSIG_rb_var
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_2500_2625_854x480_HW_Q3_CRF10.bin,15.09877,479.5291,22.21612,1888.271,30.85299,1644.101,23.60327,1267.209,26.84305,756.7881
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_250_375_854x480_HW_Q3_CRF10.bin,10.2983,287.3857,15.79576,873.9608,24.84197,918.9855,14.51278,441.0648,18.81832,1037.649
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_2625_2750_854x480_HW_Q3_CRF10.bin,34.36106,1503.923,44.96266,3124.531,58.31487,4874.278,50.13139,3067.094,60.51501,4287.378
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_2750_2875_854x480_HW_Q3_CRF10.bin,20.62184,1293.782,26.52523,2042.894,42.72845,4312.089,23.84651,1463.644,37.33015,3865.466
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_2875_3000_854x480_HW_Q3_CRF10.bin,9.15679,74.33366,10.50413,244.9004,27.49413,1078.727,12.91694,156.5601,17.32322,394.9347
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_375_500_854x480_HW_Q3_CRF10.bin,8.034219,120.8874,14.25516,381.0081,14.5749,358.6173,15.39687,1011.546,19.66689,1555.043
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_500_625_854x480_HW_Q3_CRF10.bin,19.8307,211.62,43.49718,954.7066,39.29381,825.0967,32.45884,607.5151,34.95643,699.8504
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_625_750_854x480_HW_Q3_CRF10.bin,10.77364,413.0442,18.69151,967.7551,23.0141,1412.058,12.51051,646.6743,19.88484,728.3868
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_750_875_854x480_HW_Q3_CRF10.bin,14.26152,369.2761,24.20754,835.6041,36.46349,1415.91,19.85835,1804.717,22.20235,602.0489
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_875_1000_854x480_HW_Q3_CRF10.bin,11.96045,631.1355,17.0727,1916.098,24.97449,1249.245,10.77857,538.3858,24.53729,817.2614
